DailyHockeyLineups.com Daily Matchup Stats,,,,,,DailyHockeyLineups.com,,,,,
Player Name,Position,DraftKings/FanDuel Cost,Arena,Arena Point Percent,Team,Opponent (Opp),Games Played vs Opp,Avg Points vs Opp,Avg Shots vs Opp,Shooting % vs Opp,Point % This Season,Offesive Zone Starts,Corsi For %,PDO
Kevin Bieksa,D,3100/3300,Home,12.0,ANH,EDM,63,0.43,1.98,4.0,17.3,46.9,44.2,99.9
Jared Boll,LW,3200/3000,Home,0.0,ANH,EDM,31,0.1,0.39,8.3,5.9,56.7,39.7,100.7
Andrew Cogliano,LW,4300/3600,Home,46.0,ANH,EDM,26,0.23,1.65,9.3,39.0,44.7,50.5,99.9
Simon Despres,D,2800/3000,Home,0,ANH,EDM,4,0.25,2.5,10.0,0.0,60.0,44.0,100.0
Patrick Eaves,RW,5900/5600,Home,62.0,ANH,EDM,18,0.61,1.83,18.2,50.6,39.0,,61.0
Cam Fowler,D,5200/4700,Home,33.0,ANH,EDM,26,0.54,1.65,4.7,40.0,47.7,50.8,101.5
Ryan Getzlaf,C,7200/8200,Home,65.0,ANH,EDM,44,1.07,2.34,16.5,63.5,49.3,53.6,102.0
Nate Guenin,D,2500/,Home,0,ANH,EDM,7,0.14,0.86,0.0,0,,,
Korbinian Holzer,D,2600/3000,Home,21.0,ANH,EDM,4,0.0,0.0,0,21.9,43.8,39.2,101.8
Ondrej Kase,RW,3500/3000,Home,36.0,ANH,EDM,2,0.0,4.0,0.0,24.5,58.9,53.1,98.3
Ryan Kesler,C,5800/5600,Home,56.0,ANH,EDM,64,0.62,2.44,7.7,51.2,35.1,51.1,100.6
Hampus Lindholm,D,3400/4000,Home,18.0,ANH,EDM,19,0.47,1.37,7.7,24.2,44.8,52.2,100.7
Josh Manson,D,2800/3200,Home,27.0,ANH,EDM,12,0.08,0.83,10.0,20.7,39.8,47.3,100.3
Brandon Montour,D,3000/3500,Home,21.0,ANH,EDM,,,,,22.2,57.2,52.8,105.0
Corey Perry,RW,5500/5400,Home,44.0,ANH,EDM,48,0.83,3.0,16.0,46.3,60.6,57.7,102.1
Rickard Rakell,LW,6000/5700,Home,59.0,ANH,EDM,17,0.71,1.65,10.7,52.1,61.6,56.7,102.7
Nick Ritchie,LW,3600/3300,Home,45.0,ANH,EDM,7,0.14,2.57,5.6,31.2,58.3,53.0,100.4
Logan Shaw,RW,3000/3000,Home,19.0,ANH,EDM,4,0.0,1.0,0.0,18.2,56.0,40.2,102.2
Jakob Silfverberg,RW,5700/6000,Home,50.0,ANH,EDM,17,0.59,2.65,4.4,46.8,42.2,51.4,101.0
Clayton Stoner,D,2600/3100,Home,33.0,ANH,EDM,22,0.14,1.05,0.0,21.4,40.2,46.7,99.1
Shea Theodore,D,4300/4300,Home,29.0,ANH,EDM,3,0.0,1.0,0.0,23.5,56.9,54.2,97.7
Nate Thompson,C,3200/3200,Home,13.0,ANH,EDM,14,0.14,1.5,9.5,6.7,41.3,35.9,103.7
Sami Vatanen,D,3900/3200,Home,31.0,ANH,EDM,19,0.42,1.79,5.9,31.0,48.0,51.3,102.8
Antoine Vermette,C,3300/3400,Home,34.0,ANH,EDM,40,0.57,1.85,10.8,30.6,40.8,50.8,100.0
Chris Wagner,LW,3100/3000,Home,15.0,ANH,EDM,4,0.0,1.0,0.0,16.3,50.5,39.6,102.0
Player Name,Position,DraftKings/FanDuel Cost,Arena,Arena Point Percent,Team,Opponent (Opp),Games Played vs Opp,Avg Points vs Opp,Avg Shots vs Opp,Shooting % vs Opp,Point % This Season,Offesive Zone Starts,Corsi For %,PDO
Matt Benning,D,3000/3200,Away,22.0,EDM,ANH,3,0.0,1.33,0.0,22.6,55.2,51.4,101.3
Drake Caggiula,LW,3500/3400,Away,17.0,EDM,ANH,4,0.25,1.25,20.0,25.0,54.6,51.9,102.0
David Desharnais,C,3200/3200,Away,10.0,EDM,ANH,9,0.33,1.67,6.7,22.4,38.4,,61.6
Leon Draisaitl,RW,6800/6900,Away,59.0,EDM,ANH,12,1.08,1.67,40.0,62.2,61.1,57.2,102.0
Jordan Eberle,RW,4900/4400,Away,49.0,EDM,ANH,27,0.56,2.26,9.8,42.7,62.7,58.1,101.2
Mark Fayne,D,2600/,Away,0.0,EDM,ANH,12,0.0,0.92,0.0,50.0,72.7,56.1,105.6
Eric Gryba,D,2800/3100,Away,15.0,EDM,ANH,8,0.12,1.0,0.0,15.0,44.7,48.0,97.7
Matt Hendricks,C,2900/3100,Away,9.0,EDM,ANH,20,0.2,0.95,0.0,11.9,30.7,39.2,96.7
Zack Kassian,RW,3400/3300,Away,21.0,EDM,ANH,19,0.37,1.58,13.3,26.6,46.6,44.4,100.4
Jujhar Khaira,LW,2700/3000,Away,0.0,EDM,ANH,2,0.0,0.5,0.0,10.0,35.1,51.4,101.3
Oscar Klefbom,D,5100/4700,Away,39.0,EDM,ANH,13,0.23,1.62,9.5,36.6,53.4,52.1,101.2
Joey LaLeggia,D,2500/,Away,0,EDM,ANH,,,,,0,,,
Anton Lander,C,2900/,Away,23.0,EDM,ANH,13,0.0,1.0,0.0,18.2,26.0,39.7,100.1
Adam Larsson,D,3200/3600,Away,26.0,EDM,ANH,10,0.1,1.0,0.0,20.3,44.3,46.9,101.1
Mark Letestu,C,3700/4000,Away,46.0,EDM,ANH,19,0.37,1.16,9.1,35.9,38.0,47.9,102.4
Milan Lucic,LW,5000/5400,Away,46.0,EDM,ANH,19,0.32,1.68,9.4,50.0,64.8,58.2,101.6
Patrick Maroon,LW,4500/5000,Away,32.0,EDM,ANH,6,0.83,2.33,0.0,39.5,62.1,57.8,101.0
Connor McDavid,C,8100/8400,Away,76.0,EDM,ANH,8,1.0,2.38,10.5,72.0,62.8,57.6,102.9
Ryan Nugent-Hopkins,C,4600/4300,Away,49.0,EDM,ANH,20,0.7,2.3,13.0,43.9,49.9,49.8,98.6
Darnell Nurse,D,3100/3100,Away,24.0,EDM,ANH,8,0.12,2.0,0.0,20.5,46.0,47.6,99.6
Jordan Oesterle,D,2500/3000,Away,0.0,EDM,ANH,3,0.0,2.0,0.0,0.0,77.8,62.0,88.9
Iiro Pakarinen,RW,3000/3000,Away,22.0,EDM,ANH,3,0.0,2.67,0.0,28.6,42.9,45.1,103.6
Tyler Pitlick,RW,3000/,Away,29.0,EDM,ANH,5,0.2,1.2,16.7,35.5,50.5,46.6,100.5
Benoit Pouliot,LW,3300/3200,Away,19.0,EDM,ANH,19,0.42,1.42,7.4,17.9,52.6,47.6,98.4
Griffin Reinhart,D,2700/,Away,0,EDM,ANH,2,0.0,0.5,0.0,0,,,
Kris Russell,D,3700/3200,Away,21.0,EDM,ANH,31,0.45,1.19,5.4,17.6,40.4,42.3,99.9
Andrej Sekera,D,4200/3700,Away,32.0,EDM,ANH,21,0.43,1.48,3.2,35.0,49.7,50.3,101.5
Anton Slepyshev,RW,3200/3200,Away,17.0,EDM,ANH,4,0.25,2.5,0.0,22.0,51.4,46.1,103.1
Player Name,Position,DraftKings/FanDuel Cost,Arena,Arena Point Percent,Team,Opponent (Opp),Games Played vs Opp,Avg Points vs Opp,Avg Shots vs Opp,Shooting % vs Opp,Point % This Season,Offesive Zone Starts,Corsi For %,PDO
Pontus Aberg,LW,2800/3200,Away,20.0,NSH,STL,2,0.5,1.0,0.0,13.3,49.6,47.2,98.6
Viktor Arvidsson,RW,6400/6200,Away,49.0,NSH,STL,9,0.44,1.89,5.9,52.5,59.7,56.5,100.5
Cody Bass,C,2800/,Away,0.0,NSH,STL,3,0.0,0.0,0,0.0,16.1,28.1,97.1
Anthony Bitetto,D,2600/3200,Away,28.0,NSH,STL,2,0.5,1.0,0.0,20.7,57.3,44.6,100.9
Mattias Ekholm,D,3200/3400,Away,24.0,NSH,STL,20,0.2,0.75,6.7,25.6,43.6,50.2,99.0
Ryan Ellis,D,5100/4900,Away,49.0,NSH,STL,24,0.21,1.46,2.9,42.3,46.0,48.8,102.9
Kevin Fiala,LW,3600/3200,Away,30.0,NSH,STL,3,0.33,1.67,0.0,25.9,60.9,56.7,99.1
Vernon Fiddler,C,2900/3100,Away,6.0,NSH,STL,56,0.27,1.39,6.4,6.8,79.5,,20.5
Mike Fisher,C,4000/3800,Away,44.0,NSH,STL,35,0.63,2.29,15.0,48.6,42.3,50.5,99.8
Filip Forsberg,LW,6700/7600,Away,44.0,NSH,STL,16,1.12,3.69,15.3,52.4,59.3,55.8,99.5
Petter Granberg,D,2500/,Away,0.0,NSH,STL,3,0.33,0.0,0,0.0,50.0,44.4,99.3
Brad Hunt,D,2700/3000,Away,57.0,NSH,STL,1,0.0,0.0,0,50.0,49.6,,50.4
Matt Irwin,D,3100/3100,Away,19.0,NSH,STL,11,0.64,1.73,10.5,16.2,48.4,48.1,101.8
Calle Jarnkrok,C,3300/3400,Away,25.0,NSH,STL,15,0.2,1.27,10.5,30.9,41.8,47.8,100.3
Ryan Johansen,C,6100/6300,Away,41.0,NSH,STL,20,0.65,2.4,12.5,47.6,61.3,59.7,99.3
Roman Josi,D,6300/6200,Away,41.0,NSH,STL,27,0.56,2.22,6.7,48.6,51.6,53.5,100.3
Cody McLeod,LW,3000/3000,Away,6.0,NSH,STL,34,0.18,1.21,9.8,10.2,58.8,,41.2
James Neal,RW,4700/5200,Away,43.0,NSH,STL,30,0.57,2.77,12.0,42.9,64.5,58.3,99.9
P.A. Parenteau,RW,3300/3100,Away,38.0,NSH,STL,12,0.5,1.5,22.2,40.3,40.8,,59.2
Miikka Salomaki,RW,2800/3100,Away,0.0,NSH,STL,5,0.0,0.4,0.0,0.0,37.8,34.0,96.8
Colton Sissons,C,3200/3200,Away,7.0,NSH,STL,8,0.12,0.12,0.0,12.1,26.4,41.0,104.3
Craig Smith,RW,3200/3300,Away,28.0,NSH,STL,29,0.41,2.48,2.8,28.2,63.6,56.6,101.0
P.K. Subban,D,5300/5600,Away,44.0,NSH,STL,12,0.67,2.33,3.6,45.5,48.7,54.4,98.1
Austin Watson,RW,3000/3400,Away,21.0,NSH,STL,10,0.1,1.0,0.0,20.8,24.0,39.6,101.5
Yannick Weber,D,2800/3000,Away,11.0,NSH,STL,10,0.3,1.3,15.4,11.0,56.9,47.5,100.1
Colin Wilson,LW,3100/3600,Away,39.0,NSH,STL,34,0.47,1.62,12.7,38.6,57.6,57.5,102.1
Harry Zolnierczyk,LW,2900/3000,Away,21.0,NSH,STL,,,,,16.7,42.9,36.8,100.6
Player Name,Position,DraftKings/FanDuel Cost,Arena,Arena Point Percent,Team,Opponent (Opp),Games Played vs Opp,Avg Points vs Opp,Avg Shots vs Opp,Shooting % vs Opp,Point % This Season,Offesive Zone Starts,Corsi For %,PDO
Kenny Agostino,LW,3200/3000,Home,0.0,STL,NSH,1,0.0,0.0,0,42.9,61.2,59.6,98.1
Ivan Barbashev,C,3600/3100,Home,38.0,STL,NSH,1,0.0,1.0,0.0,40.0,47.0,51.6,103.8
Patrik Berglund,C,3500/4200,Home,32.0,STL,NSH,42,0.38,1.83,9.1,31.7,41.5,51.4,98.8
Samuel Blais,LW,2700/,Home,0,STL,NSH,,,,,0,,,
Robert Bortuzzo,D,3000/3100,Home,12.0,STL,NSH,5,0.0,0.6,0.0,10.5,49.2,48.5,100.5
Jay Bouwmeester,D,3200/3300,Home,22.0,STL,NSH,40,0.23,1.5,0.0,18.5,33.5,42.3,101.0
Kyle Brodziak,C,3100/3100,Home,28.0,STL,NSH,43,0.23,1.47,6.3,21.7,17.2,38.0,100.5
Chris Butler,D,2500/,Home,0.0,STL,NSH,14,0.29,1.29,5.6,0.0,35.7,34.2,113.3
Joel Edmundson,D,3300/4000,Home,25.0,STL,NSH,6,0.33,1.83,9.1,18.8,44.3,44.8,101.8
Robby Fabbri,LW,3900/,Home,47.0,STL,NSH,8,0.38,1.88,6.7,43.1,68.1,56.5,98.5
Landon Ferraro,C,2600/,Home,0,STL,NSH,2,0.0,0.5,0.0,0,,,
Carl Gunnarsson,D,3000/3100,Home,16.0,STL,NSH,16,0.31,0.69,9.1,10.7,50.2,47.4,98.0
Dmitrij Jaskin,LW,2900/3000,Home,24.0,STL,NSH,11,0.27,0.91,10.0,19.6,50.3,53.9,101.3
Jori Lehtera,C,3400/3400,Home,32.0,STL,NSH,13,0.38,1.38,5.6,31.2,66.9,52.0,99.4
Petteri Lindbohm,D,2900/3000,Home,0.0,STL,NSH,4,0.0,1.25,0.0,0.0,53.3,51.9,90.8
Brad Malone,C,2500/,Home,0,STL,NSH,5,0.0,0.4,0.0,0,,,
Magnus Paajarvi,RW,3300/3400,Home,38.0,STL,NSH,19,0.11,1.74,6.1,37.5,49.8,49.8,105.9
Colton Parayko,D,5000/4400,Home,42.0,STL,NSH,10,0.3,2.7,3.7,35.8,48.6,50.7,100.8
David Perron,RW,3700/3700,Home,29.0,STL,NSH,42,0.52,1.9,8.7,39.0,48.7,53.3,101.0
Alex Pietrangelo,D,6200/5500,Home,47.0,STL,NSH,36,0.44,2.11,5.3,45.0,40.1,48.7,100.7
Ty Rattie,RW,2800/3000,Home,0.0,STL,NSH,2,0.0,0.0,0,22.2,20.4,,79.6
Ryan Reaves,RW,2900/3000,Home,12.0,STL,NSH,28,0.07,0.57,12.5,16.3,25.9,46.1,101.9
Zach Sanford,RW,3100/3200,Home,16.0,STL,NSH,2,0.0,0.5,0.0,17.9,44.9,,55.1
Jordan Schmaltz,D,2700/3000,Home,0.0,STL,NSH,1,0.0,0.0,0,22.2,57.0,51.3,103.1
Jaden Schwartz,LW,6000/6500,Home,51.0,STL,NSH,19,0.63,1.84,14.3,52.6,58.4,56.3,101.3
Vladimir Sobotka,LW,3800/3800,Home,100.0,STL,NSH,20,0.4,1.3,7.7,100.0,81.0,63.6,96.6
Paul Stastny,C,4800/5600,Home,45.0,STL,NSH,38,0.58,2.05,7.7,42.4,47.4,52.4,101.5
Alexander Steen,LW,4900/5500,Home,54.0,STL,NSH,42,0.64,2.67,11.6,44.7,51.0,49.2,101.1
Vladimir Tarasenko,RW,7700/7800,Home,63.0,STL,NSH,24,0.92,2.29,18.2,59.8,74.0,57.3,101.0
Scottie Upshall,LW,3000/3000,Home,20.0,STL,NSH,18,0.28,1.78,12.5,23.3,19.2,39.1,100.2
Nail Yakupov,RW,3300/3000,Home,24.0,STL,NSH,13,0.15,1.85,8.3,20.0,63.6,51.7,97.3
